Index,Collapse
1,1
2,1
3,1
4,1
5,0
6,0
7,1
8,1
9,1
10,1
11,1
12,0
13,0
14,1
15,0
16,1
17,1
18,1
19,0
20,1
21,0
22,0
23,1
24,0
25,0
26,0
27,0
28,1
29,1
30,1
31,0
32,0
33,0
34,1
35,1
36,0
37,0
38,1
39,0
40,1
41,0
42,1
43,0
44,1
45,1
46,0
47,1
48,1
49,1
50,1
51,0
52,0
53,1
54,1
55,1
56,0
57,0
58,1
59,1
60,0
61,0
62,0
63,0
64,1
65,1
66,0
67,1
68,0
69,1
70,1
71,1
72,0
73,1
74,0
75,0
76,1
77,0
78,1
79,0
80,1
81,1
82,1
83,0
84,1
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,1
93,0
94,0
95,1
96,0
97,1
98,1
99,1
100,0
101,0
102,0
103,0
104,0
105,0
106,0
107,1
108,0
109,0
110,0
111,1
112,0
113,1
114,1
115,0
116,0
117,1
118,1
119,0
120,0
121,0
122,1
123,0
124,0
125,1
126,0
127,0
128,0
129,0
130,1
131,1
132,0
133,1
134,0
135,1
136,0
137,0
138,0
139,0
140,1
141,0
142,0
143,0
144,1
145,0
146,0
147,0
148,1
149,0
150,0
151,1
152,1
153,0
154,0
155,1
156,1
157,1
158,1
159,1
160,1
161,0
162,0
163,1
164,1
165,0
166,1
167,1
168,0
169,0
170,1
171,1
172,0
173,0
174,1
175,1
176,0
177,0
178,0
179,1
180,0
181,1
182,1
183,1
184,1
185,1
186,0
187,1
188,0
189,1
190,0
191,1
192,1
193,0
194,0
195,0
196,1
197,1
198,1
199,0
200,0
201,1
202,0
203,1
204,0
205,1
206,1
207,0
208,0
209,0
210,1
211,0
212,0
213,1
214,0
215,1
216,0
217,0
218,0
219,1
220,1
221,1
222,0
223,0
224,0
225,0
226,0
227,0
228,0
229,1
230,0
231,0
232,0
233,0
234,1
235,0
236,1
237,0
238,0
239,0
240,1
241,0
242,0
243,0
244,1
245,1
246,1
247,1
248,0
249,0
250,1
251,0
252,0
253,1
254,0
255,0
256,0
257,1
258,1
259,0
260,1
261,0
262,1
263,1
264,1
265,1
266,1
267,0
268,0
269,0
270,1
271,0
272,0
273,0
274,0
275,0
276,1
277,0
278,0
279,0
280,0
281,0
282,0
283,0
284,0
285,0
286,0
287,1
288,0
289,0
290,1
291,1
292,1
293,0
294,1
295,0
296,1
297,0
298,0
299,0
300,0
301,0
302,0
303,0
304,0
305,1
306,0
307,1
308,1
309,0
310,1
311,1
312,0
313,0
314,1
315,0
316,1
317,1
318,0
319,0
320,1
321,0
322,0
323,0
324,0
325,0
326,0
327,0
328,0
329,0
330,0
331,0
332,0
333,0
334,0
335,0
336,1
337,1
338,0
339,0
340,0
341,0
342,0
343,0
344,0
345,0
346,0
347,1
348,0
349,0
350,1
351,0
352,0
353,0
354,1
355,0
356,1
357,0
358,1
359,0
360,0
361,1
362,1
363,1
364,0
365,0
366,0
367,0
368,1
369,0
370,0
371,0
372,0
373,1
374,0
375,1
376,1
377,1
378,0
379,1
380,1
381,0
382,0
383,1
384,0
385,1
386,0
387,1
388,1
389,0
390,1
391,0
392,0
393,0
394,1
395,1
396,0
397,0
398,1
399,0
400,1
401,1
402,0
403,0
404,0
405,1
406,1
407,1
408,1
409,0
410,1
411,0
412,1
413,0
414,0
415,1
416,0
417,0
418,0
419,0
420,1
421,0
422,0
423,0
424,0
425,1
426,1
427,1
428,0
429,0
430,0
431,0
432,0
433,0
434,0
435,1
436,0
437,1
438,1
439,1
440,0
441,1
442,0
443,1
444,0
445,0
446,1
447,0
448,0
449,0
450,1
451,1
452,1
453,0
454,1
455,0
456,1
457,0
458,0
459,0
460,0
461,0
462,0
463,1
464,0
465,0
466,0
467,0
468,1
469,1
470,0
471,0
472,0
473,0
474,1
475,1
476,0
477,0
478,0
479,0
480,0
481,1
482,0
483,0
484,0
485,0
486,1
487,1
488,0
489,0
490,0
491,1
492,0
493,0
494,1
495,1
496,0
497,0
498,1
499,0
500,1
501,1
502,1
503,0
504,0
505,0
506,0
507,1
508,0
509,0
510,0
511,1
512,1
513,0
514,0
515,1
516,1
517,0
518,1
519,0
520,1
521,1
522,0
523,0
524,1
525,0
526,1
527,0
528,1
529,0
530,0
531,0
532,1
533,1
534,1
535,0
536,0
537,0
538,0
539,0
540,0
541,1
542,0
543,0
544,0
545,1
546,1
547,0
548,0
549,0
550,1
551,0
552,0
553,0
554,1
555,0
556,1
557,1
558,0
559,0
560,1
561,0
562,1
563,0
564,1
565,1
566,0
567,0
568,1
569,1
570,0
571,0
572,1
573,1
574,0
575,1
576,0
577,0
578,1
579,0
580,1
581,0
582,0
583,1
584,1
585,0
586,1
587,0
588,0
589,1
590,0
591,0
592,1
593,0
594,0
595,1
596,0
597,0
598,1
599,1
600,0
601,0
602,1
603,0
604,0
605,0
606,1
607,0
608,0
609,0
610,1
611,0
612,1
613,0
614,1
615,1
616,0
617,1
618,0
619,0
620,0
621,0
622,0
623,0
624,0
625,0
626,0
627,1
628,0
629,0
630,0
631,1
632,1
633,1
634,0
635,1
636,0
637,0
638,0
639,0
640,0
641,0
642,0
643,0
644,0
645,0
646,0
647,1
648,0
649,0
650,1
651,0
652,0
653,0
654,0
655,1
656,1
657,0
658,1
659,0
660,0
661,0
662,1
663,1
664,0
665,0
666,0
667,0
668,0
669,0
670,1
671,0
672,0
673,1
674,1
675,1
676,1
677,0
678,0
679,0
680,1
681,0
682,1
683,0
684,0
685,0
686,0
687,1
688,1
689,0
690,1
691,1
692,1
693,0
694,0
695,0
696,0
697,1
698,0
699,0
700,1
701,0
702,0
703,0
704,0
705,1
706,0
707,1
708,1
709,1
710,0
711,0
712,0
713,0
714,1
715,0
716,1
717,0
718,1
719,0
720,1
721,0
722,0
723,0
724,1
725,0
726,0
727,1
728,1
729,0
730,1
731,0
732,0
733,0
734,1
735,1
736,1
737,0
738,0
739,1
740,0
741,1
742,1
743,0
744,1
745,1
746,0
747,0
748,0
749,0
750,0
751,1
752,0
753,0
754,1
755,0
756,0
757,1
758,0
759,1
760,0
761,1
762,1
763,0
764,1
765,1
766,1
767,1
768,0
769,1
770,0
771,1
772,1
773,0
774,1
775,0
776,0
777,0
778,1
779,0
780,0
781,0
782,0
783,0
784,0
785,1
786,1
787,0
788,1
789,1
790,1
791,0
792,1
793,0
794,1
795,0
796,0
797,0
798,1
799,0
800,1
801,0
802,0
803,0
804,0
805,0
806,0
807,0
808,1
809,0
810,0
811,1
812,1
813,0
814,0
815,0
816,0
817,0
818,1
819,0
820,1
821,0
822,0
823,0
824,1
825,0
826,0
827,0
828,0
829,0
830,0
831,0
832,0
833,0
834,0
835,1
836,0
837,1
838,1
839,0
840,0
841,1
842,0
843,0
844,0
845,1
846,0
847,0
848,1
849,1
850,0
851,0
852,1
853,1
854,1
855,0
856,0
857,1
858,1
859,0
860,1
861,0
862,0
863,0
864,1
865,1
866,0
867,0
868,0
869,1
870,0
871,0
872,1
873,0
874,0
875,0
876,1
877,1
878,0
879,1
880,1
881,0
882,0
883,0
884,1
885,1
886,1
887,1
888,1
889,0
890,1
891,0
892,1
893,0
894,1
895,0
896,0
897,0
898,0
899,1
900,0
901,1
902,0
903,0
904,0
905,1
906,1
907,0
908,1
909,0
910,1
911,1
912,1
913,0
914,0
915,1
916,0
917,0
918,0
919,1
920,0
921,0
922,1
923,1
924,0
925,0
926,0
927,0
928,0
929,0
930,1
931,0
932,1
933,0
934,1
935,0
936,1
937,1
938,0
939,0
940,0
941,0
942,1
943,1
944,0
945,0
946,0
947,1
948,1
949,1
950,0
951,0
952,0
953,0
954,0
955,0
956,1
957,0
958,0
959,1
960,0
961,0
962,0
963,1
964,1
965,1
966,0
967,1
968,0
969,0
970,0
971,0
972,1
973,0
974,0
975,1
976,0
977,1
978,0
979,0
980,0
981,1
982,0
983,1
984,0
985,1
986,0
987,0
988,0
989,0
990,0
991,0
992,1
993,1
994,0
995,0
996,0
997,0
998,0
999,0
1000,1
